Manufacturer;Model Name;Screen Size;RAM; Storage;Operating System;Color
Apple;MacBook Pro;"13.3""";8GB;128GB;macOS;Серебристый
Apple;Macbook Air;"13.3""";8GB;128GB;macOS;Серебристый
HP;250 G6;"15.6""";8GB;256GB;No OS;Черный
Apple;MacBook Pro;"15.4""";16GB;512GB;macOS;Голубой
Apple;MacBook Pro;"13.3""";8GB;256GB;macOS;Синий
Acer;Aspire 3;"15.6""";4GB;500GB;Windows;Серебристый
Apple;MacBook Pro;"15.4""";16GB;256GB;Mac OS;Черный
Apple;Macbook Air;"13.3""";8GB;256GB;macOS;Голубой
Asus;ZenBook UX430UN;"14.0""";16GB;512GB;Windows;Белый
Acer;Swift 3;"14.0""";8GB;256GB;Windows;Серебристый
HP;250 G6;"15.6""";4GB;500GB;No OS;Красный
HP;250 G6;"15.6""";4GB;500GB;No OS;Голубой
Apple;MacBook Pro;"15.4""";16GB;256GB;macOS;Красный
Dell;Inspiron 3567;"15.6""";4GB;256GB;Windows;Серый
Apple;"MacBook 12""";"12.0""";8GB;256GB;macOS;Серебристый
Apple;MacBook Pro;"13.3""";8GB;256GB;macOS;Синий
Dell;Inspiron 3567;"15.6""";8GB;256GB;Windows;Синий
Apple;MacBook Pro;"15.4""";16GB;512GB;macOS;Серый
Lenovo;IdeaPad 320-15IKB;"15.6""";8GB;1TB;No OS;Синий
Dell;XPS 13;"13.3""";8GB;128GB;Windows;Белый
Asus;Vivobook E200HA;"11.6""";2GB;32GB;Windows;Белый
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;128GB;Windows;Белый
HP;255 G6;"15.6""";4GB;500GB;No OS;Белый
Dell;Inspiron 5379;"13.3""";8GB;256GB;Windows;Серый
HP;15-BS101nv (i7-8550U/8GB/256GB/FHD/W10);"15.6""";8GB;256GB;Windows;Белый
Dell;Inspiron 3567;"15.6""";4GB;1TB;Windows;Серебристый
Apple;MacBook Air;"13.3""";8GB;128GB;Mac OS;Белый
